nav.bi|Analytics
school.recentTransactions|Transactions Récentes
school.greeting|Bonjour
school.noTransaction|Aucune transaction pour le moment.
school.onTrack|En bonne voie
school.excellent|excellent !
school.noUnpaid|Aucun impayé
school.schoolPayments|Paiements scolaires
school.lastMonths|derniers mois
school.dashSubtitle|Gérez votre établissement, vos équipes et vos finances en un seul endroit.
school.last7Days|7 derniers jours
school.thisMonth|Ce mois
ohada.balance|Balance de vérification
ohada.resultat|Compte de résultat
ohada.tva|Déclaration TVA
ohada.account|Compte
ohada.debit|Débit
ohada.credit|Crédit
ohada.solde|Solde
ohada.class1|Classe 1 — Capitaux
ohada.class2|Classe 2 — Immobilisations
ohada.class3|Classe 3 — Stocks
ohada.class4|Classe 4 — Tiers
ohada.class5|Classe 5 — Trésorerie
ohada.class6|Classe 6 — Charges
ohada.class7|Classe 7 — Produits
roles.title|Rôles & Permissions
roles.role|Rôle
roles.permission|Permission
roles.matrix|Matrice
roles.members|Membres
roles.audit|Audit
roles.createRole|Créer un rôle
roles.editRole|Modifier le rôle
roles.deleteRole|Supprimer le rôle
roles.cloneRole|Dupliquer le rôle
roles.assignRole|Assigner un rôle
roles.can_view|Voir
roles.can_edit|Modifier
roles.can_delete|Supprimer
roles.can_export|Exporter
roles.can_validate|Valider
roles.can_approve|Approuver
auth.phone|Téléphone
auth.otp|Code OTP
auth.forgot|Mot de passe oublié ?
auth.noAccount|Pas encore de compte ?
auth.createAccount|Créer un compte
auth.signIn|Connexion
auth.signUp|Inscription
auth.confirmPassword|Confirmer le mot de passe
auth.resetPassword|Réinitialiser
auth.sendCode|Envoyer le code
auth.verifyCode|Vérifier le code
notif.markAll|Tout marquer lu
notif.live|Live
notif.polling|Polling
notif.invoice_paid|Facture payée
notif.low_stock|Stock faible
notif.payment_late|Paiement en retard
notif.wf_approved|Workflow approuvé
notif.wf_rejected|Workflow refusé
pdf.invoiceTo|Facturer à
pdf.invoiceNumber|N° Facture
pdf.date|Date
pdf.dueDate|Échéance
pdf.subtotal|Sous-total
pdf.tax|TVA (18%)
pdf.ca|CA (5% TVA)
pdf.terms|Conditions & Mentions légales
pdf.payment|Mode de paiement
pdf.notes|Notes
pdf.bulletin|BULLETIN DE NOTES
pdf.student|Étudiant
pdf.class|Classe
pdf.period|Période
pdf.subject|Matière
pdf.grade|Note
pdf.average|Moyenne
pdf.rank|Rang
pdf.payslip|FICHE DE PAIE
pdf.employee|Employé
pdf.period_pay|Période de paie
pdf.gross|Salaire brut
pdf.deductions|Cotisations
pdf.net|Salaire net
import.drop|Glissez-déposez votre fichier Excel ici
import.or|ou
import.browse|Parcourir
import.template|Télécharger le modèle
import.success|Importation réussie
import.rows|lignes importées
import.errors|erreurs détectées
mm.send|Envoyer un lien de paiement
mm.amount|Montant à collecter
mm.operator|Opérateur
mm.number|Numéro Mobile Money
mm.confirm|Confirmer le paiement
mm.success|Paiement confirmé
ai.forecast|Prévisions IA
ai.asking|Analyse en cours...
ai.based|Basé sur vos 90 derniers jours
error.unauthorized|Accès non autorisé
error.notFound|Page introuvable
error.required|Ce champ est requis
error.invalidEmail|Email invalide
error.invalidAmount|Montant invalide
error.tenantMismatch|Accès interdit — données d\
error.sessionExpired|Session expirée — reconnectez-vous
rh.newEmployee|Nouvel employé
rh.addFirstEmployee|Ajouter le premier employé
rh.contractType|Type de contrat
rh.startDate|Date d\
rh.endDate|Fin de contrat
rh.changeStatus|Changer le statut
rh.paySimulation|Simulation paie
rh.payPreview|Aperçu calcul paie
rh.generateSlip|Générer bulletin
rh.presences|Présences
rh.evaluation|Évaluation
rh.deletePermanent|Supprimer cet employé définitivement ?
rh.leaveRequest|Demande de congé
rh.newLeaveRequest|Nouvelle demande
rh.leaveType|Type de congé
rh.leaveStart|Date début
rh.leaveEnd|Date fin
rh.leaveReason|Motif
rh.noLeave|Aucune demande de congé.
rh.noEmployee|Aucun employé dans cette catégorie.
rh.noAlert|Aucune alerte RH active. Tout est en ordre.
rh.activeSalary|Effectif actif
rh.onLeaveOrSick|En congé / Malade
rh.payrollMass|Masse salariale
rh.employerCharge|Charge patronale
rh.lastEmployees|Derniers employés
rh.lastPayslips|Derniers bulletins de paie
rh.modules|Modules RH
rh.payManage|Gérer
rh.reports|Rapports
rh.dashboard|Dashboard
rh.netToPay|Net à payer
rh.employerCnss|Charge patronale CNSS
rh.matricule|Matricule / Code
rh.manager|Manager
rh.autoMatricule|Matricule généré automatiquement
rh.workCity|Ville de travail
rh.directManager|Manager direct
rh.photoUrl|Photo (URL)
rh.positionFunc|Poste / Fonction
rh.saving|Enregistrement…
rh.createEmployee|Créer employé
rh.searchEmployee|Rechercher un employé…
rh.noEmployeeFull|Aucun employé
rh.noPayslip|Aucun bulletin généré
rh.pendingLeave|en attente
rh.expiringContracts|Contrats expirant
rh.in30days|dans 30 jours
rh.toValidate|à valider
rh.grossMass|Masse brute
rh.netMass|Masse nette
rh.employerCharges|Charges patronales
rh.totalCost|Coût total employeur
rh.grantedLeave|Congés accordés
rh.totalHeadcount|Effectif total
rh.contractBreakdown|Répartition par type de contrat
rh.payProcessing|Traitement de la paie
rh.generateSlips|Générer les bulletins
rh.rhAnalytics|Analytics RH
rh.advancedStats|Statistiques avancées
rh.contrats.title|Contrats
rh.contrats.subtitle|employés · contrats expirant
rh.contrats.expired|expiré(s) — Régulariser immédiatement
rh.contrats.expiringSoon|expire(nt) dans moins de 30 jours
rh.contrats.filterAll|Tous
rh.contrats.filterExpiring|Expirant
rh.contrats.filterExpired|Expirés
rh.contrats.colEmployee|Employé
rh.contrats.colType|Type contrat
rh.contrats.colStart|Début
rh.contrats.colEnd|Fin / Échéance
rh.contrats.colSalary|Salaire brut
rh.contrats.colStatus|Statut
rh.contrats.colActions|Actions
rh.contrats.noData|Aucun contrat trouvé
rh.contrats.statusActive|Actif
rh.contrats.statusExpired|Expiré
rh.contrats.statusExpireSoon|Expire bientôt
rh.contrats.expiredSince|Expiré depuis
rh.contrats.inDays|Dans
rh.contrats.days|j
rh.contrats.renew|Renouveler
rh.contrats.print|Imprimer
rh.contrats.terminate|Résilier le contrat
rh.contrats.detailType|Type contrat
rh.contrats.detailStart|Début
rh.contrats.detailEnd|Fin
rh.contrats.detailSalary|Salaire brut
rh.contrats.expiredDays|Contrat expiré depuis
rh.contrats.expireInDays|Expire dans
rh.contrats.undetermined|Indéterminé
rh.contrats.confirmTerminate|Résilier le contrat de
rh.contrats.printTitle|CONTRAT DE TRAVAIL
rh.contrats.printEmployee|Employé
rh.contrats.printFullName|Nom complet
rh.contrats.printEmail|Email
rh.contrats.printPosition|Poste
rh.contrats.printConditions|Conditions
rh.contrats.printContractType|Type de contrat
rh.contrats.printHireDate|Date d\
rh.contrats.printEndDate|Date de fin
rh.contrats.printGrossSalary|Salaire brut mensuel
rh.contrats.signEmployer|Signature Employeur
rh.contrats.signEmployee|Signature Employé
rh.contrats.signDate|Date: ___________
rh.contrats.generated|Généré le
rh.evals.title|Évaluations
rh.evals.subtitle|évaluations · Moyenne :
rh.evals.newEval|Nouvelle évaluation
rh.evals.avgNote|Note moyenne
rh.evals.excellent|Excellents
rh.evals.toImprove|À améliorer
rh.evals.noData|Aucune évaluation enregistrée.
rh.evals.createFirst|+ Créer la première évaluation
rh.evals.modalTitle|Nouvelle évaluation
rh.evals.employee|Employé *
rh.evals.period|Période
rh.evals.selectEmployee|Sélectionner…
rh.evals.notesByCriteria|Notes par critère
rh.evals.qualityWork|Qualité du travail
rh.evals.punctuality|Ponctualité & présence
rh.evals.teamwork|Travail en équipe
rh.evals.initiative|Initiative & proactivité
rh.evals.calculatedAvg|Moyenne calculée
rh.evals.comment|Commentaire
rh.evals.commentPlaceholder|Points forts, axes d\
rh.evals.nextObjectives|Objectifs prochaine période
rh.evals.objectivesPlaceholder|Objectifs à atteindre…
rh.evals.evaluator|Évaluateur
rh.evals.evaluatorPlaceholder|Nom du responsable
rh.evals.evaluatedBy|Évalué par :
rh.evals.save|Enregistrer
rh.evals.labelQuality|Qualité travail
rh.evals.labelPunctuality|Ponctualité
rh.evals.labelTeamwork|Travail équipe
rh.evals.labelInitiative|Initiative
rh.evals.objectivesLabel|Objectifs prochaine période
rh.org.title|Organigramme
rh.org.subtitle|Structure organisationnelle de l\
rh.org.loading|Chargement de l\
rh.org.searchPlaceholder|Rechercher…
rh.org.viewDept|Départements
rh.org.viewTree|Hiérarchie
rh.org.kpiActive|Effectif actif
rh.org.kpiDepts|Départements
rh.org.kpiManagers|Managers
rh.org.kpiWithHierarchy|Avec hiérarchie
rh.org.noEmployee|Aucun employé actif
rh.org.addEmployee|Ajoutez des employés dans le module Employés
rh.org.noHierarchy|Aucune hiérarchie définie
rh.org.collapseTip|pour réduire/développer les branches
rh.org.legend|Légende des couleurs
rh.org.unassigned|Non assigné
rh.presences.title|Présences & Pointage
rh.presences.subtitle|employés actifs
rh.presences.export|Exporter
rh.presences.record|Pointer
rh.presences.presents|Présents
rh.presences.absents|Absents
rh.presences.lates|Retards
rh.presences.noEmployee|Aucun employé actif
rh.presences.searchPlaceholder|Rechercher un employé…
rh.presences.detailedTitle|Pointages détaillés
rh.presences.colDate|Date
rh.presences.colEmployee|Employé
rh.presences.colStatus|Statut
rh.presences.colArrival|Arrivée
rh.presences.colDeparture|Départ
rh.presences.colReason|Motif
rh.presences.modalTitle|Enregistrer une présence
rh.presences.employee|Employé *
rh.presences.date|Date *
rh.presences.status|Statut *
rh.presences.arrival|Heure arrivée
rh.presences.departure|Heure départ
rh.presences.reason|Motif (optionnel)
rh.presences.reasonPlaceholder|Raison de l\
rh.presences.selectEmployee|Sélectionner…
rh.presences.csvHeaders|Date;Employé;Type;Arrivée;Départ;Motif
rh.sanctions.title|Sanctions & Discipline
rh.sanctions.subtitle|Gestion des mesures disciplinaires
rh.sanctions.newBtn|Nouvelle sanction
rh.sanctions.loading|Chargement…
rh.sanctions.kpiEnCours|En cours
rh.sanctions.kpiWarnings|Avertissements
rh.sanctions.kpiSuspensions|Suspensions
rh.sanctions.kpiTerminations|Licenciements
rh.sanctions.modalTitle|Nouvelle sanction disciplinaire
rh.sanctions.employee|Employé *
rh.sanctions.selectEmployee|— Sélectionner —
rh.sanctions.type|Type *
rh.sanctions.statut|Statut
rh.sanctions.dateStart|Date de sanction *
rh.sanctions.dateEnd|Date de fin (optionnel)
rh.sanctions.motif|Motif *
rh.sanctions.motifPlaceholder|Décrire les faits reprochés…
rh.sanctions.observations|Observations / Suite donnée
rh.sanctions.obsPlaceholder|Décision RH, remarques complémentaires…
rh.sanctions.save|Enregistrer
rh.sanctions.filterAll|Tous
rh.sanctions.noData|Aucune sanction enregistrée
rh.sanctions.noDataHint|Cliquez sur "Nouvelle sanction" pour commencer
rh.sanctions.fieldPosition|Poste :
rh.sanctions.fieldEndDate|Date fin :
rh.sanctions.fieldMotif|Motif
rh.sanctions.fieldObs|Observations
rh.sanctions.close|Clôturer
rh.sanctions.delete|Supprimer
rh.sanctions.confirmDelete|Supprimer cette sanction ?
rh.sanctions.errRequired|Employé et motif obligatoires
rh.avantages.title|Avantages & Bénéfices
rh.avantages.subtitle|Gestion des avantages en nature et bénéfices employés
rh.avantages.newBtn|Nouvel avantage
rh.avantages.loading|Chargement…
rh.avantages.kpiActive|Avantages actifs
rh.avantages.kpiMonthly|Charge mensuelle
rh.avantages.kpiBeneficiaries|Bénéficiaires
rh.avantages.kpiGlobal|Avantages globaux
rh.avantages.modalTitle|Nouvel avantage
rh.avantages.employeeLabel|Employé
rh.avantages.employeeHint|(laisser vide = avantage global pour tous)
rh.avantages.allEmployees|— Tous les employés (global) —
rh.avantages.type|Type *
rh.avantages.periodicity|Périodicité
rh.avantages.label|Libellé *
rh.avantages.labelPlaceholder|ex: Indemnité transport
rh.avantages.amount|Montant (FCFA)
rh.avantages.dateStart|Date de début
rh.avantages.dateEnd|Date de fin
rh.avantages.save|Enregistrer
rh.avantages.filterAll|Tous
rh.avantages.noData|Aucun avantage enregistré
rh.avantages.noDataHint|Ajoutez des avantages pour vos employés
rh.avantages.statusActive|Actif
rh.avantages.statusInactive|Inactif
rh.avantages.globalBadge|Global — tous les employés
rh.avantages.since|depuis
rh.avantages.disable|Désactiver
rh.avantages.activate|Activer
rh.avantages.delete|Supprimer
rh.avantages.confirmDelete|Supprimer cet avantage ?
rh.avantages.errRequired|Libellé obligatoire
invoice.editInvoice|Modifier la facture
invoice.items|Lignes de facture
invoice.subtotal|Sous-total HT
invoice.addLine|Ajouter une ligne
invoice.designation|Désignation
invoice.unitPrice|Prix unitaire
invoice.fiscalSummary|Récapitulatif fiscal · Congo-Brazzaville
invoice.tva18|TVA (18 %)
invoice.ca5|CA (5 % de la TVA)
invoice.totalTTC|TOTAL TTC
invoice.notesOptional|Notes (optionnel)
invoice.saveDraft|Enregistrer brouillon
invoice.emit|Émettre la facture
invoice.clientInfo|Informations client
invoice.invoiceInfo|Informations facture
invoice.companyName|Nom / Entreprise *
invoice.dueDate2|Date d\
invoice.thisMonth|Total ce mois
invoice.collected|Encaissé
invoice.waiting|En attente
invoice.late|En retard
invoice.confirmChange|Confirmer le changement ?
invoice.noInvoice|Aucune facture trouvée.
invoice.preview|Aperçu
invoice.showPreview|Afficher
invoice.hidePreview|Masquer
invoice.pdfPreview|l\
invoice.issuedOn|Émise le
invoice.dueOn|Échéance
invoice.clientSection|Client
invoice.datesSection|Dates
invoice.loading|Chargement…
invoice.settings|Paramètres
invoice.all|Toutes
invoice.drafts|Brouillons
invoice.sent|Envoyées
invoice.paid2|Payées
invoice.cancelled|Annulées
invoice.notFound|Facture introuvable
invoice.sentSuccess|Envoyée !
invoice.markedSent|Facture marquée comme envoyée !
treso.enterprise|Trésorerie Enterprise
treso.subtitle|Flux financiers temps réel · Multi-comptes · OHADA
treso.globalTreasury|Trésorerie Globale
treso.bankPlusCash|Banque + Caisse + Mobile
treso.receipts|Encaissements
treso.payments|Décaissements
treso.netCashflow|Cashflow Net
treso.positivePos|Position positive
treso.deficitMonth|Déficit ce mois
treso.fundsBreakdown|Répartition des fonds
treso.totalLabel|total
treso.banks|Banques
treso.cashLabel|Caisses
treso.mobile|Mobile Money
treso.noBankAccount|Aucun compte bancaire
treso.noAccount|Aucun compte configuré
treso.cashflow30|Cashflow — 30 derniers jours
treso.entries|Entrées
treso.exits|Sorties
treso.quickAccess|Accès rapides
treso.lastTransactions|Dernières transactions
treso.seeAll|Tout voir →
treso.noTransaction|Aucune transaction
treso.alertsTitle|Alertes trésorerie
treso.lowCash|solde faible
treso.negativeCashflow|Cashflow négatif ce mois
treso.bankAccounts2|Comptes bancaires
treso.activeCash|Caisses actives
treso.mobileWallets2|Wallets mobile
treso.opsThisMonth|Ops ce mois
treso.encaissement|Encaissement
treso.decaissement|Décaissement
treso.category|Catégorie
treso.descriptionField|Description *
treso.amountField|Montant (FCFA) *
treso.paymentMode|Mode de paiement
treso.register|Enregistrer
treso.registering|Enregistrement…
treso.opsCount|opérations ce mois
treso.loading|Chargement Trésorerie…
treso.encaisser|Encaisser
treso.decaisser|Décaisser
treso.cheques|Chèques
treso.chequesSubtitle|Suivi des chèques émis et reçus
treso.newCheque|Nouveau chèque
treso.registerCheque|Enregistrer un chèque
treso.chequeNum|N° Chèque
treso.beneficiaire|Bénéficiaire
treso.banque|Banque
treso.emission|Émission
treso.echeance|Échéance
treso.encaisse|Encaissé
treso.rejete|Rejeté
treso.annule|Annulé
treso.enAttente|En attente
treso.echus|Échus
treso.noCheque|Aucun chèque
treso.chequeEncaisse|Chèque encaissé ✓
treso.chequeRejete|Chèque marqué rejeté
treso.chequeEnregistre|Chèque enregistré ✓
treso.confirmEncaisser|Marquer ce chèque comme encaissé ?
treso.confirmRejeter|Marquer ce chèque comme rejeté ?
treso.chequePlaceholder|N° chèque, bénéficiaire…
treso.tousStatuts|Tous statuts
treso.montantFCFA|Montant (FCFA) *
treso.dateEmission|Date émission
treso.dateEcheance|Date échéance
treso.compteBancaire|Compte bancaire
treso.motif|Motif
treso.motifPlaceholder|Objet du paiement (optionnel)
treso.aucun|— Aucun —
treso.chequesSingular|chèque(s)
treso.chequesEnRetard|chèque(s) en retard
treso.chequesRejetes|chèque(s) rejeté(s)
treso.historique|Historique des transactions
treso.historiqueOpsCount|opérations enregistrées
treso.filtres|Filtres
treso.exporter|Exporter
treso.entreesPage|Entrées (page)
treso.sortiesPage|Sorties (page)
treso.netPage|Net (page)
treso.tousTypes|Tous types
treso.encaissementsLabel|Encaissements
treso.decaissementsLabel|Décaissements
treso.transfertsLabel|Transferts
treso.frais|Frais
treso.toutesSources|Toutes sources
treso.reinitialiserFiltres|Réinitialiser filtres
treso.libellePlaceholder|Libellé…
treso.libelle|Libellé
treso.detailTransaction|Détail transaction
treso.refPrefix|Réf:
treso.debut|Début
treso.fin|Fin
treso.rapprochements|Rapprochements bancaires
treso.rapprochementsSubtitle|Vérification soldes comptables vs relevés bancaires
treso.ajouterLigne|Ajouter ligne
treso.etatRapprochement|État du rapprochement
treso.soldeComptable|Solde comptable
treso.soldeReleve|Solde relevé bancaire
treso.saisirSolde|Saisir solde relevé
treso.ecart|Écart
treso.rapproche|Rapproché
treso.ecartSignificatif|Écart significatif
treso.progression|Progression
treso.lignesRapprocher|ligne(s) à rapprocher
treso.lignesRapprochees|ligne(s) rapprochée(s)
treso.totauxRapproches|Totaux rapprochés
treso.debit|Débit
treso.credit|Crédit
treso.ajouterLigneReleve|Ajouter une ligne de relevé
treso.compteLabel|Compte:
treso.debitSortie|Débit (sortie)
treso.creditEntree|Crédit (entrée)
treso.reference|Référence
treso.remboursements|Remboursements
treso.remboursementsSubtitle|Gestion des remboursements clients, fournisseurs et salariés
treso.nouvelleDemande|Nouvelle demande
treso.totalDemande|Total demandé
treso.enAttenteRemb|En attente de remboursement
treso.rembourse|Remboursé
treso.noRemboursement|Aucun remboursement trouvé
treso.detailRemboursement|Détail remboursement
treso.dateDemande|Date demande
treso.tiers|Tiers
treso.montantDemande|Montant demandé
treso.montantRembourse|Montant remboursé
treso.modePaiement|Mode de paiement
treso.statut|Statut
treso.notes|Notes
treso.nouvelleDemandeTitre|Nouvelle demande de remboursement
treso.tiersPlaceholder|Nom du tiers
treso.rejeter|Rejeter
treso.rembourserAction|Rembourser
treso.virementOpt|Virement
treso.especes|Espèces
treso.chequeOption|Chèque
treso.mobileMoneyOpt|Mobile Money
treso.validations|Validations & Approbations
treso.validationsSubtitle|Circuit de validation : Demande → RAF → DG → Comptable → Exécution
treso.montantEnCircuit|Montant en circuit
treso.demandesUrgentes|Demandes urgentes
treso.totalExecute|Total exécuté
treso.noDemandesLabel|Aucune demande trouvée
treso.demandeCree|Demande créée
treso.validationRAF|Validation RAF
treso.validationDG|Validation DG
treso.approbationComptable|Approbation Comptable
treso.executionPaiement|Exécution Paiement
treso.nouvelleDemandePayment|Nouvelle demande de paiement
treso.beneficiaireField|Bénéficiaire *
treso.normale|Normale
treso.urgente|Urgente
treso.tresUrgente|Très urgente
treso.compteSource|Compte source
treso.compteBancaireOpt|Compte bancaire
treso.caisse|Caisse
treso.refFacture|Réf. Facture
treso.justification|Justification
treso.soumettreLabel|Soumettre la demande
treso.validerLabel|Valider
treso.validerAction|Valider la demande
treso.rejeterAction|Rejeter la demande
treso.confirmerValidation|Confirmer la validation
treso.confirmerRejet|Confirmer le rejet
treso.commentaire|Commentaire
treso.motifDecision|Motif de la décision (optionnel)
treso.detailDemande|Détail de la demande
treso.etapeSuivante|Étape suivante
treso.valideParRAF|Validé RAF
treso.commentaireRAF|Commentaire RAF
treso.valideDG|Validé DG
treso.commentaireDG|Commentaire DG
treso.virements|Virements
treso.virementsSubtitle|Ordres de virement bancaire
treso.nouveauVirement|Nouveau virement
treso.creerVirement|Créer le virement
treso.virementCree|Virement créé ✓
treso.virementExecute|Virement exécuté ✓
treso.virementRejete|Virement rejeté
treso.confirmExecuter|Exécuter ce virement ?
treso.confirmRejeterVir|Rejeter ce virement ?
treso.execute|Exécuté
treso.noVirement|Aucun virement
treso.comptesActifs|comptes actifs
treso.comptesBancaires|Comptes bancaires
treso.compteDest|Compte destination
treso.externe|— Externe —
treso.dateVirement|Date virement
treso.refBancaire|Référence bancaire
treso.executerAction|Exécuter
treso.wallets|Mobile Money
treso.walletsSubtitle|Wallets Airtel, MTN, Orange…
treso.ajouterWallet|Ajouter wallet
treso.soldeTotal|Solde total Mobile Money
treso.walletsActifs|wallet(s) actif(s)
treso.mesWallets|MES WALLETS
treso.aucunWallet|Aucun wallet configuré
treso.selectionnerWallet|Sélectionner un wallet
treso.pourVoirOps|pour voir ses opérations
treso.operationsWallet|OPÉRATIONS
treso.entree|Entrée
treso.sortie|Sortie
treso.aucuneOperation|Aucune opération
treso.actif|Actif
treso.inactif|Inactif
treso.nouveauWallet|Nouveau wallet Mobile Money
treso.operateur|Opérateur *
treso.choisir|— Choisir —
treso.autre|Autre
treso.numero|Numéro *
treso.intitule|Intitulé (nom)
treso.soldeInitial|Solde initial (FCFA)
treso.walletAjoute|Wallet ajouté ✓
treso.operationEnregistree|Opération enregistrée ✓
treso.soldeCourant|Solde actuel:
act.brouillon|créé un brouillon
act.envoyee|envoyé une facture
act.payee|reçu un paiement
act.annulee|annulé une facture
dash.greetingMorning|Bonjour
dash.greetingAfternoon|Bon après-midi
dash.greetingEvening|Bonsoir
dash.bannerFinancial|Gérez vos ventes, finances et équipes en un seul endroit.
dash.bannerSpace|Consultez les informations de votre espace.
dash.moduleSuffix|module actif
dash.modulesSuffix|modules actifs
dash.recovery|Recouvrement
dash.sessionsHeader|Sessions
dash.invoiceSg|facture
dash.invoicePl|factures
dash.impayesHeader|Impayés
dash.alertSg|alerte
dash.alertPl|alertes
dash.toutEnOrdre|Tout est en ordre
dash.refresh|Rafraîchir
dash.connectedAs|Connecté en tant que :
dash.ago|il y a
dash.sessionsEnCours|Sessions en cours
